City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Saint-Pierre,RE,-21.3393,55.4781,66.9,65,0,6.91,clear sky
220,Gogrial,SS,8.5332,28.1004,71.42,93,96,2.06,overcast clouds
221,Liuzhou,CN,24.3126,109.3892,77.16,92,18,3.09,few clouds
222,Saldanha,ZA,-33.0117,17.9442,51.85,65,55,15.39,broken clouds
223,Tabuk,PH,17.4189,121.4443,74.35,93,100,1.86,overcast clouds
224,Bogatyye Saby,RU,56.0102,50.4483,56.08,68,100,6.11,overcast clouds
225,Acajutla,SV,13.5928,-89.8275,83.1,78,76,6.42,broken clouds
226,Preobrazheniye,RU,42.9019,133.9064,67.98,82,0,2.57,clear sky
227,Port Blair,IN,11.6667,92.75,80.71,84,100,12.26,overcast clouds
228,Hatillo,PR,18.4863,-66.8254,87.19,74,3,7.0,clear sky
229,Kavaratti,IN,10.5669,72.642,81.07,79,100,12.88,overcast clouds
230,Victoria,HK,22.2855,114.1577,82.33,90,6,3.0,clear sky
231,Alofi,NU,-19.0595,-169.9187,75.09,60,100,10.36,overcast clouds
232,Moose Factory,CA,51.2585,-80.6094,62.6,82,100,5.75,overcast clouds
233,San Ramon,US,37.7799,-121.978,93.94,35,0,11.5,clear sky
234,Amapa,BR,1.0,-52.0,76.8,67,8,3.51,clear sky
235,Colares,PT,38.7992,-9.4469,70.29,71,25,13.0,scattered clouds
236,Ibra,OM,22.6906,58.5334,83.98,52,96,6.49,overcast clouds
237,Auch,FR,43.65,0.5833,73.45,89,85,5.41,overcast clouds
238,Sun Prairie,US,43.1836,-89.2137,73.47,74,37,8.88,scattered clouds
239,Broken Hill,AU,-31.95,141.4333,43.29,89,6,10.96,clear sky
240,Auburn Hills,US,42.6875,-83.2341,70.16,77,100,5.55,overcast clouds
241,Kaduqli,SD,11.0167,29.7167,72.41,92,100,4.99,light rain
242,Salalah,OM,17.0151,54.0924,75.0,98,100,8.95,light rain
243,Varkaus,FI,62.3153,27.873,56.3,63,75,4.83,broken clouds
244,Yiyang,CN,28.5892,112.3283,80.85,67,51,6.04,broken clouds
245,Ukiah,US,39.1502,-123.2078,98.44,27,0,5.99,clear sky
246,Waingapu,ID,-9.6567,120.2641,76.06,87,37,7.54,scattered clouds
247,Khandyga,RU,62.6667,135.6,59.76,81,58,1.97,broken clouds
248,Saint George,US,37.1041,-113.5841,88.39,45,0,7.0,clear sky
