City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Chiang Mai,TH,76.33,broken clouds,18.75,99.0,Centara Riverside Hotel Chiangmai
500,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
503,Cassilandia,BR,75.51,clear sky,-19.1133,-51.7342,Delirius Motel
504,Lamu,KE,73.83,broken clouds,-2.2717,40.902,Lamu House
505,Do Gonbadan,IR,82.49,clear sky,30.3586,50.7981,مسافرخانه شادی
506,Shimoda,JP,78.1,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
507,Popondetta,PG,78.78,broken clouds,-8.7537,148.2534,Timos Transit House
508,Mayumba,GA,70.23,overcast clouds,-3.432,10.6554,LIKWALE LODGE
513,Pasighat,IN,77.38,scattered clouds,28.0667,95.3333,Siang Guest House
514,Yanam,IN,75.52,light rain,16.7333,82.2167,The Regency Hotel
515,Barra Do Bugres,BR,83.35,clear sky,-15.0725,-57.1811,Hotel 4AM Petrofurt
516,Jiuquan,CN,73.29,overcast clouds,39.7432,98.5174,Jiuquan Hotel
518,Portoviejo,EC,78.21,overcast clouds,-1.05,-80.45,HOTEL JAVA
519,Along,IN,73.49,few clouds,28.1667,94.7667,Hotel West
520,Gizo,SB,82.53,broken clouds,-8.103,156.8419,Imagination Island
521,Basco,PH,84.31,broken clouds,20.4487,121.9702,Nathaniel's Lodge
522,Yuci,CN,76.75,few clouds,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
524,Ponte San Nicolo,IT,72.81,broken clouds,45.3705,11.9211,Hotel Volta
525,Pilar,BR,76.93,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
526,Boulsa,BF,82.96,overcast clouds,12.6675,-0.5758,Auberge Relwende
528,Inirida,CO,73.74,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
530,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
532,Meulaboh,ID,78.57,overcast clouds,4.1363,96.1285,Kost Pria
533,Nagato,JP,80.67,overcast clouds,34.3833,131.2,いそう庵
535,Mandal,IN,74.23,broken clouds,25.45,74.5667,Surpanch saab ki vatika
538,San Juan Del Rio,MX,77.32,overcast clouds,20.3833,-100.0,Hotel Layseca
539,Bubaque,GW,79.54,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
540,Uvinza,TZ,71.19,clear sky,-5.1036,30.3911,Crown Lodge and lounge
541,Gorontalo,ID,74.3,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
542,Tazmalt,DZ,87.15,clear sky,36.3868,4.3989,Hôtel Numédia
545,Vanimo,PG,77.11,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
548,Kahului,US,84.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
551,Fairbanks,US,73.09,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
552,Niquero,CU,86.81,few clouds,20.0431,-77.5828,Islazul Niquero
556,Kloulklubed,PW,72.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
557,Tura,IN,74.52,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
558,Chillicothe,US,79.25,scattered clouds,39.3331,-82.9824,Holiday Inn Express Chillicothe East
560,Zhanakorgan,KZ,79.66,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
562,West Wendover,US,88.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
563,Iaciara,BR,81.43,broken clouds,-14.0958,-46.6317,Hotel Matinha
566,Manokwari,ID,77.92,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
567,Jawad,IN,73.81,overcast clouds,24.6,74.85,हर मंदिर जावद
570,Santa Cruz,BO,84.25,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
571,Pierre,US,94.46,overcast clouds,44.3683,-100.351,Ramkota Hotel
574,Tamiahua,MX,87.06,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
576,Acapulco,MX,84.74,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
578,Nawa,IN,78.37,light rain,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
579,Olot,ES,77.25,overcast clouds,42.181,2.4901,Hotel Riu Fluvià
582,Mantua,IT,78.04,clear sky,45.1667,10.7833,Hotel la Favorita
584,Sterling,US,84.85,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
586,Pontianak,ID,71.58,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
590,Ipixuna,BR,80.4,broken clouds,-1.7625,-48.8043,Chalé do Mato
593,Kanniyakumari,IN,78.89,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
595,Clearwater,US,90.14,scattered clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
596,Dharampur,IN,75.97,overcast clouds,20.5333,73.1833,Motel 11
597,West Bay,KY,89.01,scattered clouds,19.3667,-81.4167,Calypso Cove
601,Garowe,SO,76.5,scattered clouds,8.4054,48.4845,Curubo Hotel
602,Buala,SB,82.44,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
603,Pahrump,US,94.24,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
608,Lewiston,US,73.63,overcast clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
611,Eureka,US,74.19,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
612,Namatanai,PG,80.74,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
613,Mapastepec,MX,84.25,overcast clouds,15.4333,-92.9,Hotel San Carlos
614,Kilindoni,TZ,75.63,clear sky,-7.9139,39.6668,Bustani B&B
